id,set,description_index,seed,description,usable,note
00-s0,klein-base-n4,0,0,"a heavy geometric sans serif, closed apertures, flat terminals",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
00-s1,klein-base-n4,0,1,"a heavy geometric sans serif, closed apertures, flat terminals",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
00-s2,klein-base-n4,0,2,"a heavy geometric sans serif, closed apertures, flat terminals",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
00-s3,klein-base-n4,0,3,"a heavy geometric sans serif, closed apertures, flat terminals",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
01-s0,klein-base-n4,1,0,a high-contrast didone with hairline serifs and vertical stress,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
01-s1,klein-base-n4,1,1,a high-contrast didone with hairline serifs and vertical stress,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
01-s2,klein-base-n4,1,2,a high-contrast didone with hairline serifs and vertical stress,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
01-s3,klein-base-n4,1,3,a high-contrast didone with hairline serifs and vertical stress,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
02-s0,klein-base-n4,2,0,a chunky slab serif with blunt rectangular serifs,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
02-s1,klein-base-n4,2,1,a chunky slab serif with blunt rectangular serifs,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
02-s2,klein-base-n4,2,2,a chunky slab serif with blunt rectangular serifs,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
02-s3,klein-base-n4,2,3,a chunky slab serif with blunt rectangular serifs,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
03-s0,klein-base-n4,3,0,a humanist sans with open apertures and a calligraphic axis,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
03-s1,klein-base-n4,3,1,a humanist sans with open apertures and a calligraphic axis,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
03-s2,klein-base-n4,3,2,a humanist sans with open apertures and a calligraphic axis,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
03-s3,klein-base-n4,3,3,a humanist sans with open apertures and a calligraphic axis,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
04-s0,klein-base-n4,4,0,"a condensed grotesque, tight spacing, large x-height",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
04-s1,klein-base-n4,4,1,"a condensed grotesque, tight spacing, large x-height",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
04-s2,klein-base-n4,4,2,"a condensed grotesque, tight spacing, large x-height",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
04-s3,klein-base-n4,4,3,"a condensed grotesque, tight spacing, large x-height",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
05-s0,klein-base-n4,5,0,a rounded soft sans with fully rounded stroke ends,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
05-s1,klein-base-n4,5,1,a rounded soft sans with fully rounded stroke ends,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
05-s2,klein-base-n4,5,2,a rounded soft sans with fully rounded stroke ends,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
05-s3,klein-base-n4,5,3,a rounded soft sans with fully rounded stroke ends,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
06-s0,klein-base-n4,6,0,a wide low-contrast monospace with prominent spurs,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
06-s1,klein-base-n4,6,1,a wide low-contrast monospace with prominent spurs,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
06-s2,klein-base-n4,6,2,a wide low-contrast monospace with prominent spurs,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
06-s3,klein-base-n4,6,3,a wide low-contrast monospace with prominent spurs,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
07-s0,klein-base-n4,7,0,"an ultra-light hairline sans, uniform thin strokes",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
07-s1,klein-base-n4,7,1,"an ultra-light hairline sans, uniform thin strokes",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
07-s2,klein-base-n4,7,2,"an ultra-light hairline sans, uniform thin strokes",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
07-s3,klein-base-n4,7,3,"an ultra-light hairline sans, uniform thin strokes",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
08-s0,klein-base-n4,8,0,"a wedge-serif face with flared, trumpet-shaped terminals",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
08-s1,klein-base-n4,8,1,"a wedge-serif face with flared, trumpet-shaped terminals",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
08-s2,klein-base-n4,8,2,"a wedge-serif face with flared, trumpet-shaped terminals",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
08-s3,klein-base-n4,8,3,"a wedge-serif face with flared, trumpet-shaped terminals",1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
09-s0,klein-base-n4,9,0,a stencil sans with deliberate breaks in the strokes,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
09-s1,klein-base-n4,9,1,a stencil sans with deliberate breaks in the strokes,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
09-s2,klein-base-n4,9,2,a stencil sans with deliberate breaks in the strokes,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
09-s3,klein-base-n4,9,3,a stencil sans with deliberate breaks in the strokes,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
10-s0,klein-base-n4,10,0,an inline face with a white stripe inset within each stroke,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
10-s1,klein-base-n4,10,1,an inline face with a white stripe inset within each stroke,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
10-s2,klein-base-n4,10,2,an inline face with a white stripe inset within each stroke,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
10-s3,klein-base-n4,10,3,an inline face with a white stripe inset within each stroke,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
11-s0,klein-base-n4,11,0,a heavy angular blackletter-influenced sans with sharp cut terminals,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
11-s1,klein-base-n4,11,1,a heavy angular blackletter-influenced sans with sharp cut terminals,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
11-s2,klein-base-n4,11,2,a heavy angular blackletter-influenced sans with sharp cut terminals,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
11-s3,klein-base-n4,11,3,a heavy angular blackletter-influenced sans with sharp cut terminals,1,"owner, 2026-09-12: judged from the sheet; all 48 usable"
00-s0,zimage-n4,0,0,"a heavy geometric sans serif, closed apertures, flat terminals",,
00-s1,zimage-n4,0,1,"a heavy geometric sans serif, closed apertures, flat terminals",,
00-s2,zimage-n4,0,2,"a heavy geometric sans serif, closed apertures, flat terminals",,
00-s3,zimage-n4,0,3,"a heavy geometric sans serif, closed apertures, flat terminals",,
01-s0,zimage-n4,1,0,a high-contrast didone with hairline serifs and vertical stress,,
01-s1,zimage-n4,1,1,a high-contrast didone with hairline serifs and vertical stress,,
01-s2,zimage-n4,1,2,a high-contrast didone with hairline serifs and vertical stress,,
01-s3,zimage-n4,1,3,a high-contrast didone with hairline serifs and vertical stress,,
02-s0,zimage-n4,2,0,a chunky slab serif with blunt rectangular serifs,,
02-s1,zimage-n4,2,1,a chunky slab serif with blunt rectangular serifs,,
02-s2,zimage-n4,2,2,a chunky slab serif with blunt rectangular serifs,,
02-s3,zimage-n4,2,3,a chunky slab serif with blunt rectangular serifs,,
03-s0,zimage-n4,3,0,a humanist sans with open apertures and a calligraphic axis,,
03-s1,zimage-n4,3,1,a humanist sans with open apertures and a calligraphic axis,,
03-s2,zimage-n4,3,2,a humanist sans with open apertures and a calligraphic axis,,
03-s3,zimage-n4,3,3,a humanist sans with open apertures and a calligraphic axis,,
04-s0,zimage-n4,4,0,"a condensed grotesque, tight spacing, large x-height",,
04-s1,zimage-n4,4,1,"a condensed grotesque, tight spacing, large x-height",,
04-s2,zimage-n4,4,2,"a condensed grotesque, tight spacing, large x-height",,
04-s3,zimage-n4,4,3,"a condensed grotesque, tight spacing, large x-height",,
05-s0,zimage-n4,5,0,a rounded soft sans with fully rounded stroke ends,,
05-s1,zimage-n4,5,1,a rounded soft sans with fully rounded stroke ends,,
05-s2,zimage-n4,5,2,a rounded soft sans with fully rounded stroke ends,,
05-s3,zimage-n4,5,3,a rounded soft sans with fully rounded stroke ends,,
06-s0,zimage-n4,6,0,a wide low-contrast monospace with prominent spurs,,
06-s1,zimage-n4,6,1,a wide low-contrast monospace with prominent spurs,,
06-s2,zimage-n4,6,2,a wide low-contrast monospace with prominent spurs,,
06-s3,zimage-n4,6,3,a wide low-contrast monospace with prominent spurs,,
07-s0,zimage-n4,7,0,"an ultra-light hairline sans, uniform thin strokes",,
07-s1,zimage-n4,7,1,"an ultra-light hairline sans, uniform thin strokes",,
07-s2,zimage-n4,7,2,"an ultra-light hairline sans, uniform thin strokes",,
07-s3,zimage-n4,7,3,"an ultra-light hairline sans, uniform thin strokes",,
08-s0,zimage-n4,8,0,"a wedge-serif face with flared, trumpet-shaped terminals",,
08-s1,zimage-n4,8,1,"a wedge-serif face with flared, trumpet-shaped terminals",,
08-s2,zimage-n4,8,2,"a wedge-serif face with flared, trumpet-shaped terminals",,
08-s3,zimage-n4,8,3,"a wedge-serif face with flared, trumpet-shaped terminals",,
09-s0,zimage-n4,9,0,a stencil sans with deliberate breaks in the strokes,,
09-s1,zimage-n4,9,1,a stencil sans with deliberate breaks in the strokes,,
09-s2,zimage-n4,9,2,a stencil sans with deliberate breaks in the strokes,,
09-s3,zimage-n4,9,3,a stencil sans with deliberate breaks in the strokes,,
10-s0,zimage-n4,10,0,an inline face with a white stripe inset within each stroke,,
10-s1,zimage-n4,10,1,an inline face with a white stripe inset within each stroke,,
10-s2,zimage-n4,10,2,an inline face with a white stripe inset within each stroke,,
10-s3,zimage-n4,10,3,an inline face with a white stripe inset within each stroke,,
11-s0,zimage-n4,11,0,a heavy angular blackletter-influenced sans with sharp cut terminals,,
11-s1,zimage-n4,11,1,a heavy angular blackletter-influenced sans with sharp cut terminals,,
11-s2,zimage-n4,11,2,a heavy angular blackletter-influenced sans with sharp cut terminals,,
11-s3,zimage-n4,11,3,a heavy angular blackletter-influenced sans with sharp cut terminals,,
